,title,type,year,age,runtime,genres,production_countries,imdb_score,imdb_votes
245,The Staircase,Show,2004,TV-MA,49,"crime, documentation, drama",FR,7.8,21531
246,Downton Abbey,Show,2010,TV-14,58,"drama, romance, european",GB,8.7,197744
247,Grey's Anatomy,Show,2005,TV-14,49,"drama, romance",US,7.6,293618
248,The Great British Baking Show,Show,2010,TV-PG,57,"reality, european",GB,8.6,9564
249,Criminal Minds,Show,2005,TV-14,44,"thriller, crime, drama",US,8.1,189191
250,NCIS,Show,2003,TV-14,44,"action, drama, crime, thriller, comedy",US,7.8,141049
251,Community,Show,2009,TV-PG,23,comedy,US,8.5,252564
252,Heartland,Show,2007,TV-PG,44,"drama, family",CA,8.4,15743
253,Supernatural,Show,2005,TV-14,45,"scifi, thriller, drama, fantasy, horror",US,8.5,428639
254,Forgetting Sarah Marshall,Movie,2008,R,111,"comedy, drama, romance",US,7.1,280121
255,War of the Worlds,Movie,2005,PG-13,117,"thriller, action, scifi",US,6.5,439027
256,Arrested Development,Show,2003,TV-MA,28,comedy,US,8.7,297552
257,The IT Crowd,Show,2006,TV-14,25,"comedy, european",GB,8.5,147409
258,30 Rock,Show,2006,TV-14,25,"comedy, sport",US,8.3,121514
259,Avatar: The Last Airbender,Show,2005,TV-Y7,24,"scifi, family, fantasy, animation, action",US,9.3,297336
260,Inception,Movie,2010,PG-13,148,"scifi, music, thriller, action","GB, US",8.8,2268288
261,The Other Guys,Movie,2010,No Rating,107,"crime, action, comedy",US,6.6,263019
262,How to Train Your Dragon,Movie,2010,PG,98,"fantasy, animation, action, comedy, family, drama",US,8.1,719717
263,Friday Night Lights,Show,2006,TV-14,43,"drama, sport",US,8.7,64449
264,Casino Royale,Movie,2006,No Rating,139,"thriller, action, european","GB, US, BS, CZ, DE",8.0,644336
265,Michael Clayton,Movie,2007,R,120,"thriller, crime, drama",US,7.2,163878
266,My Little Pony: Friendship Is Magic,Show,2010,TV-Y7,22,"scifi, animation, drama, fantasy, music, comedy, family","CA, US",7.6,20708
267,The Fairly OddParents,Show,2001,TV-Y7,24,"scifi, family, fantasy, animation, comedy","US, CA",7.2,38046
268,Jackass: The Movie,Movie,2002,R,88,"action, comedy, documentation",US,6.6,92305
269,Sonic X,Show,2003,TV-Y7,21,"action, drama, thriller, animation, comedy, fantasy, family, scifi",JP,6.1,4577
270,DEATH NOTE,Show,2006,TV-14,24,"scifi, animation, crime, drama, fantasy, thriller",JP,9.0,302147
271,Zoolander,Movie,2001,PG-13,90,"comedy, european","US, DE",6.5,260975
272,The Vampire Diaries,Show,2009,TV-14,42,"scifi, drama, thriller, fantasy, horror, romance",US,7.7,310776
273,Charlie and the Chocolate Factory,Movie,2005,PG,106,"fantasy, comedy, family","GB, US, AU",6.6,465995
274,Cleaner,Movie,2007,R,88,"thriller, crime",US,6.1,41052
275,Harold & Kumar Go to White Castle,Movie,2004,R,88,comedy,US,7.0,193053
276,The Social Network,Movie,2010,PG-13,121,drama,US,7.8,681286
277,Road to Perdition,Movie,2002,R,117,"thriller, documentation, crime, drama",US,7.7,263212
278,Naruto,Show,2002,TV-PG,23,"scifi, comedy, animation, action, fantasy, thriller",JP,8.4,93980
279,Blow,Movie,2001,R,124,"drama, crime",US,7.5,255099
280,Shooter,Movie,2007,R,124,"thriller, action, drama",US,7.2,329417
281,Big Fish,Movie,2003,PG-13,125,"drama, fantasy, romance",US,8.0,435503
282,The Bourne Ultimatum,Movie,2007,PG-13,115,"thriller, action","DE, ES, US, FR",8.0,627009
283,Public Enemies,Movie,2009,R,143,"crime, drama, history, action, european",US,7.0,297525
284,America's Next Top Model,Show,2003,TV-14,44,reality,US,5.6,17843
285,Sherlock Holmes,Movie,2009,PG-13,129,"crime, action, thriller","GB, US, AU, DE",7.6,620154
286,Love Actually,Movie,2003,R,139,"drama, comedy, romance","GB, US",7.6,474176
287,Closer,Movie,2004,R,94,"drama, romance","GB, US",7.2,215678
288,Chappelle's Show,Show,2003,TV-14,21,"comedy, music",US,8.8,62140
289,Something's Gotta Give,Movie,2003,PG-13,128,"romance, drama, comedy",US,6.7,120400
290,Grown Ups,Movie,2010,PG-13,102,"comedy, drama, european",US,5.9,247229
291,The Blind Side,Movie,2009,PG-13,129,"drama, sport",US,7.6,323939
292,Quantum of Solace,Movie,2008,PG-13,106,"thriller, action","GB, US",6.6,441023
293,The Ring,Movie,2002,PG-13,111,"horror, european","JP, US",7.1,341888
294,Trailer Park Boys,Show,2001,TV-MA,25,"comedy, crime",CA,8.6,41791
295,Into the Wild,Movie,2007,R,140,drama,US,8.1,611379
296,True Grit,Movie,2010,PG-13,110,"western, drama",US,7.6,333378
297,Blade Runner: The Final Cut,Movie,2007,R,117,"action, thriller, scifi",US,,0
298,Rambo,Movie,2008,R,92,"thriller, action, war, european","US, DE",7.0,228799
299,Stardust,Movie,2007,PG-13,122,"fantasy, romance, family","US, IS, GB",7.6,269043
300,Borgen,Show,2010,TV-MA,58,"drama, european",DK,8.5,23523
301,The Last Samurai,Movie,2003,R,154,"drama, history, war, action","NZ, JP, US",7.8,429097
302,iCarly,Show,2007,TV-G,26,"comedy, family, romance",US,6.7,38281
303,Victorious,Show,2010,TV-G,25,"comedy, drama, family, music, romance, sport",US,6.9,24224
304,The Book of Eli,Movie,2010,R,118,"thriller, action, drama, european",US,6.8,312538
305,Identity,Movie,2003,R,90,thriller,US,7.3,240433
306,Merlin,Show,2008,TV-PG,44,"action, scifi, drama, fantasy, european",GB,7.9,80138
307,Apocalypse Now Redux,Movie,2001,R,196,"drama, war, thriller, horror",US,,0
